city,timestamp,temperature,season
New York,2010-01-01,1.5098983357435527,winter
New York,2010-01-02,-0.36051453180037507,winter
New York,2010-01-03,-1.1747157750044237,winter
New York,2010-01-04,4.721245084268421,winter
New York,2010-01-05,8.48216852419817,winter
New York,2010-01-06,-1.7566217451023785,winter
New York,2010-01-07,-4.113235689800041,winter
New York,2010-01-08,-0.16386139872332808,winter
New York,2010-01-09,-8.767209777639689,winter
New York,2010-01-10,3.0535110680672606,winter
New York,2010-01-11,-1.017243600352459,winter
New York,2010-01-12,-0.5082484196191575,winter
New York,2010-01-13,-3.094380650869764,winter
New York,2010-01-14,-2.1195301615135933,winter
New York,2010-01-15,3.612761584600783,winter
New York,2010-01-16,0.10032445434863466,winter
New York,2010-01-17,-2.300616390994085,winter
New York,2010-01-18,2.315548095488925,winter
New York,2010-01-19,3.169003765287095,winter
New York,2010-01-20,-3.630599592913319,winter
New York,2010-01-21,-4.591554987284505,winter
New York,2010-01-22,0.7175200078590525,winter
New York,2010-01-23,-2.2115146392169556,winter
New York,2010-01-24,3.9102373847880605,winter
New York,2010-01-25,-8.734591008400818,winter
New York,2010-01-26,10.277561768122766,winter
New York,2010-01-27,-3.1307967670512413,winter
New York,2010-01-28,1.2727762600822479,winter
New York,2010-01-29,12.393279249268254,winter
New York,2010-01-30,3.546589230766364,winter
New York,2010-01-31,2.1111643487524763,winter
New York,2010-02-01,1.2156722323225417,winter
New York,2010-02-02,-0.6220668957946989,winter
New York,2010-02-03,-0.061277701274139854,winter
New York,2010-02-04,0.7196583638237903,winter
New York,2010-02-05,2.9093207281760995,winter
New York,2010-02-06,-2.8929572366612897,winter
New York,2010-02-07,2.083898555217279,winter
New York,2010-02-08,-1.8581578822038605,winter
New York,2010-02-09,-0.4079873274747031,winter
New York,2010-02-10,-8.082198115539528,winter
New York,2010-02-11,1.6117314913976266,winter
New York,2010-02-12,11.022081488350246,winter
New York,2010-02-13,11.507107382591407,winter
New York,2010-02-14,-0.43838038666765144,winter
New York,2010-02-15,2.607113467205209,winter
New York,2010-02-16,-6.649661750469086,winter
New York,2010-02-17,-0.16666995154125758,winter
New York,2010-02-18,-2.353692045714095,winter
New York,2010-02-19,-5.419608121739701,winter
New York,2010-02-20,0.5710119612759992,winter
New York,2010-02-21,-4.551280445840855,winter
New York,2010-02-22,-1.3581474298133394,winter
New York,2010-02-23,-6.509049539855266,winter
New York,2010-02-24,6.533465260464198,winter
New York,2010-02-25,0.5437225363275279,winter
New York,2010-02-26,0.7366799020908614,winter
New York,2010-02-27,6.629842383137451,winter
New York,2010-02-28,-7.6457386724586875,winter
New York,2010-03-01,3.9113591407255583,spring
New York,2010-03-02,10.948036254318428,spring
New York,2010-03-03,12.546629728122475,spring
New York,2010-03-04,9.43101060769598,spring
New York,2010-03-05,10.603450007570364,spring
New York,2010-03-06,11.871716728094198,spring
New York,2010-03-07,0.32257750358305515,spring
New York,2010-03-08,8.389255682609075,spring
New York,2010-03-09,11.091724790817727,spring
New York,2010-03-10,10.691212369724445,spring
New York,2010-03-11,10.56328031135959,spring
New York,2010-03-12,8.91871468669846,spring
New York,2010-03-13,8.145251512528802,spring
New York,2010-03-14,8.359918130704838,spring
New York,2010-03-15,4.1922736814676576,spring
New York,2010-03-16,13.724392014152418,spring
New York,2010-03-17,13.786380070349082,spring
New York,2010-03-18,7.89707652164298,spring
New York,2010-03-19,12.493059590151582,spring
New York,2010-03-20,16.766076606368173,spring
New York,2010-03-21,11.226710935338172,spring
New York,2010-03-22,6.6679008982822285,spring
New York,2010-03-23,11.688940558644104,spring
New York,2010-03-24,4.862841115611304,spring
New York,2010-03-25,15.021134063868033,spring
New York,2010-03-26,9.616765141970065,spring
New York,2010-03-27,14.777466728605953,spring
New York,2010-03-28,12.3445048629955,spring
New York,2010-03-29,9.155830391675174,spring
New York,2010-03-30,12.2193952931184,spring
New York,2010-03-31,9.9470981262827,spring
New York,2010-04-01,11.57715368902798,spring
New York,2010-04-02,14.448611185135505,spring
New York,2010-04-03,7.3443644179818985,spring
New York,2010-04-04,10.846548635591603,spring
New York,2010-04-05,18.97319222225532,spring
New York,2010-04-06,12.306279361236781,spring
New York,2010-04-07,10.648237382065552,spring
